Comment,Description,Designator,Footprint,LibRef,Quantity

"FMQ-BUZZER2","","BUZZER1","BUZ-TH_BD12.0-P7.60-D0.6-FD","FMQ-BUZZER2","1"
"10uf","","C1, C10, C12","C0603","10uf","3"
"1u","","C2","C0603","1u","1"
"4.7nF","","C3","C0603","4.7nF","1"
"0.1u","","C4, C6, C8, C9, C13, C14","C0603","0.1u","6"
"1uF","","C7","C0603","1uF","1"
"4.7uF","","C11","C0603","4.7uF","1"
"0530470210","","CN1, CN2, CN3, CN4","CONN-TH_0530470210","0530470210","4"
"1N5819HW-7-F","","D1","SOD-123_L2.8-W1.8-LS3.7-FD","1N5819HW-7-F","1"
"1N4148W","","D2","SOD-123FL_L2.6-W1.6-LS3.4-RD","1N4148W","1"
"HDR-F-2.54_1x5","","H1","1.27mm_5PIN","HDR-F-2.54_1x5","1"
"HDR-M-2.54_1x1","","J1","HDR-M-2.54_1X1","HDR-M-2.54_1x1","1"
"10uH ¡À10%","","L1, L2","L0603","22uH","2"
"BEAD","","L3","L0603","22uH","1"
"LED-0603_W","","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18","LED0603-FD_WHITE","LED-0603_W","18"
"2N7002","","Q1, Q3","SOT-23_L2.9-W1.3-P0.95-LS2.4-BR","2N7002","2"
"KI2301","","Q2","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","KI2301","1"
"AP2302","","Q4","SOT-23_L2.9-W1.3-P0.95-LS2.4-BR","2N7002","1"
"0R","","R1, R10","R0603","100R, NC","2"
"1K","","R2, R12, R19, R23, R24, R26, R27","R0603","1K","7"
"0R","","R3","R1206","1R","1"
"100K","","R5, R21, R30","R0603","1K, 33K","3"
"100R","","R6, R7, R22","R0603","100R","3"
"100k","","R9","C0603","100k","1"
"10K","","R11","R0603","NC","1"
"3M","","R15","R0603","430k","1"
"1M","","R17","R0603","430K","1"
"2k","","R18","R0603","1k","1"
"330K","","R25","R0603","33K","1"
"1R","","R28, R29","R1206","1R","2"
"ES7P0693FHTF","","U1","TSOP20","ES7P0693FHTF","1"
"AS01C(AI01)","","U3","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","AS01C(AI01)","1"
"HE4054B","","U4","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","HE4054B","1"
