Altium Designer Pick and Place Locations
W:\Coord\2022-07-30\1720501d79ebe0bbb044b373f5e7d363\Pick Place for ½Á°è±­PCB.csv

========================================================================================================================
File Design Information:

Date:       30/07/22
Time:       04:09
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Footprint Description","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentKind","Height(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Variation"
"C2","1u","TopLayer","C0603","","10.7075","13.5890","180","","Standard","0.0000","10.7075","13.5890","11.4074","13.5890","Fitted"
"D2","1N4148W","BottomLayer","SOD-123FL_L2.6-W1.6-LS3.4-RD","","1.9812","13.6482","270","","Standard","0.0000","1.9812","13.6482","1.9812","11.9482","Fitted"
"CN2","0530470210","BottomLayer","CONN-TH_0530470210","","5.3086","13.7823","90","","Standard","0.0000","5.3086","13.7823","5.3086","13.1572","Fitted"
"R21","100K","BottomLayer","R0603","","4.9925","23.6116","0","","Standard","0.0000","4.9925","23.6116","4.2392","23.6116","Fitted"
"R19","1k","TopLayer","R0603","","3.7363","21.8036","0","","Standard","0.0000","3.7363","21.8036","2.9831","21.8036","Fitted"
"R3","0R","TopLayer","R1206","","30.3784","21.3360","270","","Standard","0.0000","30.3784","21.3360","30.3784","22.8148","Fitted"
"U4","HE4054B","BottomLayer","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","","10.3887","12.1752","90","","Standard","0.0000","10.3886","12.1752","9.4386","13.4751","Fitted"
"C11","4.7uF","BottomLayer","C0603","","13.0556","11.7905","270","","Standard","0.0000","13.0556","11.7905","13.0556","12.4904","Fitted"
"R9","100k","TopLayer","C0603","","7.1374","7.1233","90","","Standard","0.0000","7.1374","7.1233","7.1374","6.4234","Fitted"
"Q2","KI2301","TopLayer","SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","","7.4422","11.7602","270","","Standard","0.0000","7.4422","11.7602","6.4922","10.7602","Fitted"
"D1","1N5819HW-7-F","TopLayer","SOD-123_L2.8-W1.8-LS3.7-FD","","10.6680","8.1788","90","","Standard","0.0000","10.6680","8.1788","10.6680","6.4788","Fitted"
"C1","10uf","TopLayer","C0603","","10.7442","11.5316","180","","Standard","0.0000","10.7442","11.5316","11.4441","11.5316","Fitted"
"BUZZER1","FMQ-BUZZER2","BottomLayer","BUZ-TH_BD12.0-P7.60-D0.6-FD","","28.7274","7.7470","0","","Standard","0.0000","28.7274","7.7470","24.9274","7.7470","Fitted"
"H1","HDR-F-2.54_1x5","BottomLayer","1.27mm_5PIN","","29.7267","30.6832","0","","Standard","0.0000","27.1867","30.6832","27.1867","30.6832","Fitted"
"LED6","LED-0603_W","TopLayer","LED0603-FD_WHITE","","20.8027","22.3520","180","","Standard","0.0000","20.8026","22.3521","21.6027","22.3520","Fitted"
"CN4","0530470210","BottomLayer","CONN-TH_0530470210","","9.3726","4.2009","90","","Standard","0.0000","9.3726","4.2009","9.3726","3.5758","Fitted"
"CN3","0530470210","BottomLayer","CONN-TH_0530470210","","20.3200","4.2009","90","","Standard","0.0000","20.3200","4.2009","20.3200","3.5758","Fitted"
"CN1","0530470210","BottomLayer","CONN-TH_0530470210","","5.3086","8.9253","90","","Standard","0.0000","5.3086","8.9253","5.3086","8.3002","Fitted"
"C3","4.7nF","TopLayer","C0603","","29.3624","16.2306","0","","Standard","0.0000","29.3624","16.2306","28.6625","16.2306","Fitted"
