Comment,Description,Designator,Footprint,LibRef,Quantity,,商品编号,商品分类,名称,商品型号,品牌,封装规格,每套数量,合计,,购买数量,商品单价,金额
,,,,,,,,,,,,,,,,,,
FMQ-BUZZER2,,BUZZER1,BUZ-TH_BD12.0-P7.60-D0.6-FD,FMQ-BUZZER2,1,,C96079,蜂鸣器,TMB12A12,TMB12A12,华能,"插件,P=7.6mm",1,1.2205,,10,1.22,￥12.21
4.7nF,,C1,C0603,4.7nF,1,,C482478,贴片电容(MLCC),4.7nF ±10% 50V,HGC0603R7472K500NTHJ,Chinocera(华瓷),603,1,0.023748,,100,0.023748,￥2.37
0.1u,,"C2, C4, C6, C7, C8, C10, C13, C14",C0603,0.1u,8,,C141382,贴片电容(MLCC),100nF ±10% 16V,CT41G-0402-2X1-16V-0.1μF-K(N),TORCH(火炬),603,8,0.13964,,100,0.017455,￥1.75
1uF,,C3,C0603,1uF,1,,C908011,贴片电容(MLCC),1.0uF ±10%,GRM188R71E105KA12J,muRata(村田),603,1,0.189913,,20,0.189913,￥3.80
nc,,C5,C0603,nc,1,,,,,,,,1,0,,,,
10uF,,"C9, C11",C0603,10uF,2,,C669868,贴片电容(MLCC),10uF  ±20％,JMK107BC6106MA-T,TAIYO YUDEN(太诱),603,2,0.271632,,20,0.135816,￥2.72
4.7uF,,C12,C0603,4.7uF,1,,C380324,贴片电容(MLCC),4.7uF ±10% 10V,TCC0603X5R475K100CT,CCTC(三环),603,1,0.04894,,50,0.04894,￥2.45
530470210,,"CN1, CN2, CN3, CN4",CONN-TH_0530470210,530470210,4,,C114130,线对板/线对线连接器,"线至板连接器,2P,针座,1.25mm,直插,1排",530470210,MOLEX,"插件,P=1.25mm",4,1.502624,,40,0.375656,￥15.03
1N5819HW-7-F,,D1,SOD-123_L2.8-W1.8-LS3.7-FD,1N5819HW-7-F,1,,C82544,肖特基二极管,40V 1A 450mV@1A,1N5819HW-7-F,DIODES(美台),SOD-123,1,0.405765,,10,0.405765,￥4.06
1N4148W,,D2,SOD-123FL_L2.6-W1.6-LS3.4-RD,1N4148W,1,,C129216,开关二极管,75V 150mA 4ns,1N4148W D1,TC(德昌),SOD-123FL,1,0.123717,,50,0.123717,￥6.19
"HDR-M-2.54_1x1,，弹簧片",,J1,HDR-M-2.54_1X1,HDR-M-2.54_1x1,1,,触摸弹簧,,,,,,1,0,,,,
BEAD,,"L1, L2 ,L3",L0603,22uH,2,,C2885872,贴片电感,22uH ±10%,MLI1608F-220KT,Meled(美莱),603,2,0.333902,,40,0.166951,￥6.68
